## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 45286C0B  20   9   u    0       0         16              1      HE    27    11      2
 4528740B  20   9   u    0       0         16              2      HE    29    11      2
 45386C0B  20   9   u    0       0         17              0      HE    27    11      3
 45285C0B  20   9   u    0       0         17              1      HE    23    11      2
 45185C0B  20   9   u    0       0         17              2      HE    23    11      1
 45284C0B  20   9   u    0       0         18              0      HE    19    11      2
 4518500B  20   9   u    0       0         18              1      HE    20    11      1
 4528580B  20   9   u    0       0         18              2      HE    22    11      2
 45184C0B  20   9   u    0       0         19              0      HE    19    11      1
 4528500B  20   9   u    0       0         19              1      HE    20    11      2
 4518580B  20   9   u    0       0         19              2      HE    22    11      1
 45284C0C  20   9   u    0       0         20              0      HE    19    12      2
 4518500C  20   9   u    0       0         20              1      HE    20    12      1
 4528540B  20   9   u    0       0         20              2      HE    21    11      2
 45184C0C  20   9   u    0       0         21              0      HE    19    12      1
 4528500C  20   9   u    0       0         21              1      HE    20    12      2
 4518540B  20   9   u    0       0         21              2      HE    21    11      1
 45186C0D  20   9   u    0       0          2              0      HE    27    13      1
 45286C0D  20   9   u    0       0          2              1      HE    27    13      2
 4528740D  20   9   u    0       0          2              2      HE    29    13      2
 45386C0D  20   9   u    0       0          3              0      HE    27    13      3
 45285C0D  20   9   u    0       0          3              1      HE    23    13      2
 45185C0D  20   9   u    0       0          3              2      HE    23    13      1
 4518700D  20   9   u    0       0          4              0      HE    28    13      1
 4528700D  20   9   u    0       0          4              1      HE    28    13      2
 4518740D  20   9   u    0       0          4              2      HE    29    13      1
 4538700D  20   9   u    0       0          5              0      HE    28    13      3
 4528600D  20   9   u    0       0          5              1      HE    24    13      2
 4518600D  20   9   u    0       0          5              2      HE    24    13      1
 45284C0D  20   9   u    0       0          6              0      HE    19    13      2
 4518500D  20   9   u    0       0          6              1      HE    20    13      1
 4528540D  20   9   u    0       0          6              2      HE    21    13      2
 45184C0D  20   9   u    0       0          7              0      HE    19    13      1
